epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.63423,1.56979,4.38133,1.8082,0.67296,0.05758,0.04761,0.0233,1.60337,3.59213,1.94541,8.27887e-05,8.27887e-05,8.27887e-05
2,18.7292,1.50534,3.40096,1.80115,0.4676,0.33028,0.30291,0.16444,1.66902,2.63042,2.09144,0.000164837,0.000164837,0.000164837
3,27.6406,1.50306,2.62033,1.8059,0.63938,0.49527,0.55324,0.31902,1.57371,2.01884,1.94438,0.000245597,0.000245597,0.000245597
4,36.5213,1.48284,2.24727,1.77972,0.64513,0.61851,0.6515,0.3738,1.55312,1.87102,1.96372,0.000244199,0.000244199,0.000244199
5,45.3539,1.43208,1.99914,1.71462,0.70352,0.68535,0.73867,0.43505,1.53812,1.56892,1.85387,0.000242266,0.000242266,0.000242266
6,54.2216,1.38748,1.86595,1.65492,0.79441,0.68835,0.75952,0.47894,1.43576,1.45248,1.76629,0.000240332,0.000240332,0.000240332
7,62.9765,1.34992,1.71076,1.614,0.83556,0.7374,0.80425,0.51437,1.41789,1.32914,1.74014,0.000238398,0.000238398,0.000238398
8,71.7707,1.32299,1.61915,1.58367,0.8287,0.74461,0.81242,0.53872,1.37314,1.27046,1.72172,0.000236465,0.000236465,0.000236465
9,80.5234,1.30616,1.54982,1.56098,0.85152,0.77691,0.83577,0.56556,1.32563,1.2037,1.6575,0.000234531,0.000234531,0.000234531
10,89.6017,1.27744,1.4932,1.52854,0.84159,0.79658,0.84507,0.54732,1.38794,1.26055,1.73243,0.000232598,0.000232598,0.000232598
11,98.5574,1.25595,1.42698,1.50915,0.87227,0.79136,0.87476,0.60098,1.28707,1.15232,1.60668,0.000230664,0.000230664,0.000230664
12,107.458,1.23944,1.37005,1.48952,0.87056,0.8214,0.85491,0.5862,1.34226,1.06582,1.6271,0.00022873,0.00022873,0.00022873
13,116.277,1.23037,1.3269,1.47322,0.85402,0.85879,0.89084,0.61618,1.27254,1.05497,1.58076,0.000226797,0.000226797,0.000226797
14,125.156,1.20923,1.30635,1.46259,0.86578,0.84349,0.89075,0.60231,1.33883,1.01693,1.6204,0.000224863,0.000224863,0.000224863
