epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0236,1.48953,4.09333,1.73358,0.62306,0.23234,0.21634,0.11786,1.66013,2.985,2.10368,0.00332607,0.00332607,0.00332607
2,46.934,1.50467,2.52643,1.73466,0.6795,0.59331,0.63427,0.3643,1.64169,1.91692,1.95202,0.0066594,0.0066594,0.0066594
3,69.5098,1.46178,2.01563,1.66686,0.58811,0.50336,0.5134,0.2607,1.91775,2.54067,2.17762,0.00999274,0.00999274,0.00999274
4,91.892,1.46871,1.87504,1.65179,0.73223,0.67262,0.72401,0.45959,1.50446,1.71962,1.82493,0.01,0.01,0.01
5,114.279,1.40546,1.67666,1.58638,0.79337,0.73551,0.78109,0.49805,1.4456,1.34611,1.73414,0.01,0.01,0.01
6,136.663,1.36452,1.51404,1.55274,0.80308,0.75804,0.81526,0.52628,1.4411,1.17598,1.68201,0.01,0.01,0.01
7,159.021,1.31409,1.36169,1.50482,0.87405,0.81964,0.8712,0.58814,1.34895,0.98694,1.61955,0.00999999,0.00999999,0.00999999
8,181.377,1.29132,1.27882,1.47925,0.88765,0.81831,0.86861,0.605,1.32756,0.97288,1.58691,0.00999999,0.00999999,0.00999999
9,203.778,1.26605,1.19522,1.46045,0.8914,0.80382,0.85906,0.59726,1.36076,1.07945,1.66877,0.00999999,0.00999999,0.00999999
10,226.104,1.23985,1.12405,1.43383,0.91721,0.83225,0.88134,0.62434,1.23695,0.89318,1.51107,0.00999999,0.00999999,0.00999999
11,248.531,1.21577,1.06997,1.41343,0.89277,0.81585,0.88309,0.61086,1.28926,0.97474,1.56702,0.00999999,0.00999999,0.00999999
12,270.713,1.19191,1.01727,1.38956,0.91888,0.88075,0.93531,0.6576,1.21925,0.7635,1.47238,0.00999999,0.00999999,0.00999999
13,292.882,1.18164,0.99561,1.39061,0.9016,0.89379,0.93465,0.67205,1.18836,0.73629,1.45468,0.00999999,0.00999999,0.00999999
14,315.181,1.16115,0.95588,1.37134,0.92255,0.90137,0.93867,0.68897,1.15894,0.71142,1.42339,0.00999999,0.00999999,0.00999999
15,337.427,1.15003,0.93285,1.36306,0.92349,0.9049,0.94724,0.68033,1.15589,0.72131,1.43029,0.00999999,0.00999999,0.00999999
16,359.63,1.12206,0.89392,1.3404,0.92832,0.88141,0.94571,0.68342,1.14259,0.69872,1.41114,0.00999999,0.00999999,0.00999999
17,382.28,1.10656,0.8843,1.33247,0.90431,0.93579,0.95525,0.6978,1.11576,0.65397,1.38732,0.00999998,0.00999998,0.00999998
18,404.614,1.10572,0.85964,1.3328,0.95312,0.88569,0.93945,0.68958,1.11672,0.66217,1.39392,0.00999998,0.00999998,0.00999998
19,426.96,1.08752,0.83739,1.31674,0.93474,0.93003,0.97199,0.72014,1.07128,0.60408,1.35139,0.00999998,0.00999998,0.00999998
20,449.213,1.07486,0.82396,1.31092,0.9402,0.93443,0.97239,0.71899,1.08712,0.61565,1.36794,0.00999998,0.00999998,0.00999998
21,471.36,1.0591,0.79666,1.29483,0.94054,0.9489,0.97578,0.72551,1.02962,0.55683,1.31207,0.00999998,0.00999998,0.00999998
22,493.987,1.05161,0.78605,1.2918,0.94651,0.93213,0.96563,0.72035,1.06673,0.58709,1.34769,0.00999998,0.00999998,0.00999998
23,516.845,1.03651,0.77176,1.2788,0.93792,0.95051,0.97549,0.73988,1.03021,0.57246,1.31411,0.00999998,0.00999998,0.00999998
24,539.686,1.03447,0.77049,1.28004,0.92727,0.94682,0.9763,0.73559,1.0323,0.55615,1.31059,0.00999998,0.00999998,0.00999998
25,562.612,1.01671,0.7525,1.26883,0.95097,0.94626,0.97741,0.73323,0.99527,0.53908,1.27408,0.00999998,0.00999998,0.00999998
26,585.448,1.01497,0.74,1.26839,0.92344,0.96405,0.97823,0.75108,0.97658,0.53092,1.26952,0.00999998,0.00999998,0.00999998
27,608.254,1.00707,0.73034,1.25772,0.94929,0.95386,0.97871,0.75232,0.99199,0.51991,1.27972,0.00999997,0.00999997,0.00999997
28,631.074,1.00207,0.72865,1.25918,0.94709,0.96195,0.97798,0.74657,0.96244,0.50242,1.2532,0.00999997,0.00999997,0.00999997
29,653.988,0.98913,0.70456,1.24478,0.96336,0.94763,0.97868,0.74095,0.97321,0.50775,1.26048,0.00999997,0.00999997,0.00999997
30,676.879,0.98155,0.70111,1.24272,0.92991,0.95013,0.97294,0.75152,0.95497,0.50433,1.25107,0.00999997,0.00999997,0.00999997
31,699.723,0.97021,0.68721,1.23006,0.96055,0.96081,0.98138,0.75563,0.95858,0.49489,1.25202,0.00999997,0.00999997,0.00999997
32,722.571,0.97101,0.68732,1.23664,0.95056,0.96102,0.97424,0.74761,0.96534,0.49672,1.25777,0.00999997,0.00999997,0.00999997
33,745.465,0.96137,0.67845,1.22744,0.95159,0.96271,0.98093,0.7664,0.96211,0.48118,1.25603,0.00999997,0.00999997,0.00999997
34,768.141,0.95341,0.67579,1.22095,0.93618,0.96686,0.97796,0.7675,0.93683,0.48193,1.23011,0.00999997,0.00999997,0.00999997
35,790.822,0.94772,0.66911,1.2204,0.94833,0.96786,0.98235,0.75979,0.93454,0.46941,1.23421,0.00999997,0.00999997,0.00999997
36,813.488,0.93835,0.65869,1.21105,0.9355,0.95836,0.96575,0.75402,0.92131,0.46938,1.21582,0.00999997,0.00999997,0.00999997
37,836.044,0.93569,0.6563,1.21013,0.94549,0.9677,0.9798,0.76742,0.92069,0.45631,1.21423,0.00999996,0.00999996,0.00999996
38,858.58,0.93156,0.65012,1.20969,0.95386,0.96507,0.97864,0.77145,0.89046,0.4407,1.19359,0.00999996,0.00999996,0.00999996
39,881.172,0.92903,0.64721,1.20819,0.96152,0.96647,0.98179,0.7705,0.8978,0.45213,1.19934,0.00999996,0.00999996,0.00999996
40,903.616,0.92236,0.6356,1.1954,0.95895,0.96274,0.98517,0.77193,0.89989,0.43932,1.19607,0.00999996,0.00999996,0.00999996
41,926.086,0.92096,0.64675,1.20005,0.96126,0.96388,0.98366,0.77313,0.90194,0.44663,1.20175,0.00999996,0.00999996,0.00999996
42,948.501,0.9158,0.63463,1.20163,0.95116,0.96312,0.98303,0.78313,0.88895,0.4396,1.20151,0.00999996,0.00999996,0.00999996
43,971.166,0.90929,0.62299,1.19152,0.94994,0.97157,0.98475,0.77835,0.87988,0.42319,1.18929,0.00999996,0.00999996,0.00999996
44,993.599,0.90688,0.62653,1.19061,0.96543,0.96418,0.98696,0.77778,0.87137,0.42399,1.17771,0.00999996,0.00999996,0.00999996
45,1016.22,0.90307,0.62525,1.18874,0.97032,0.96841,0.98748,0.78324,0.8742,0.42224,1.18537,0.00999996,0.00999996,0.00999996
46,1038.85,0.89385,0.61936,1.18501,0.96298,0.97254,0.98558,0.78499,0.85887,0.41023,1.17185,0.00999996,0.00999996,0.00999996
47,1061.49,0.89106,0.61064,1.18637,0.97005,0.96874,0.98696,0.78663,0.85803,0.40395,1.17428,0.00999995,0.00999995,0.00999995
48,1084.11,0.88957,0.6122,1.18054,0.96786,0.97037,0.98727,0.79468,0.8468,0.40851,1.16083,0.00999995,0.00999995,0.00999995
49,1106.77,0.88794,0.60977,1.18167,0.96282,0.97283,0.9861,0.78549,0.85302,0.41125,1.16873,0.00999995,0.00999995,0.00999995
50,1129.37,0.87632,0.59486,1.17202,0.97108,0.97017,0.9856,0.79672,0.84522,0.40423,1.15646,0.00999995,0.00999995,0.00999995
51,1151.95,0.88003,0.60181,1.17804,0.96674,0.97686,0.98782,0.79326,0.82313,0.39365,1.14454,0.00999995,0.00999995,0.00999995
52,1174.47,0.87044,0.58947,1.16682,0.96745,0.97106,0.98427,0.794,0.83194,0.40348,1.14762,0.00999995,0.00999995,0.00999995
53,1197.09,0.87192,0.59467,1.17245,0.96502,0.97403,0.9865,0.79823,0.82859,0.39863,1.14574,0.00999995,0.00999995,0.00999995
54,1219.73,0.86806,0.58796,1.16741,0.95582,0.96702,0.97929,0.79409,0.82625,0.39007,1.14789,0.00999995,0.00999995,0.00999995
55,1242.63,0.86654,0.58553,1.16712,0.96831,0.97553,0.98654,0.79332,0.82467,0.38889,1.14252,0.00999995,0.00999995,0.00999995
56,1264.95,0.86049,0.58178,1.16111,0.96729,0.97555,0.98676,0.80862,0.80773,0.38172,1.13231,0.00999995,0.00999995,0.00999995
57,1287.34,0.85388,0.57867,1.15895,0.96886,0.97859,0.98644,0.80297,0.81628,0.3796,1.14345,0.00999994,0.00999994,0.00999994
58,1309.62,0.85359,0.57855,1.15597,0.96819,0.97808,0.98541,0.80109,0.81188,0.37915,1.13484,0.00999994,0.00999994,0.00999994
59,1332.05,0.85061,0.57496,1.15811,0.96934,0.97848,0.98803,0.79963,0.806,0.37839,1.13083,0.00999994,0.00999994,0.00999994
60,1354.16,0.84923,0.57361,1.15796,0.96867,0.97881,0.98774,0.79888,0.81611,0.38118,1.1428,0.00999994,0.00999994,0.00999994
61,1376.18,0.85342,0.57673,1.16074,0.97257,0.97578,0.9882,0.79868,0.80728,0.37766,1.13214,0.00999994,0.00999994,0.00999994
62,1398.02,0.84508,0.56939,1.15201,0.96835,0.97977,0.98787,0.79949,0.80144,0.37515,1.12967,0.00999994,0.00999994,0.00999994
63,1419.62,0.84413,0.57112,1.15262,0.96516,0.97841,0.98426,0.80186,0.79044,0.36807,1.11875,0.00999994,0.00999994,0.00999994
64,1441.59,0.8397,0.57049,1.1543,0.9685,0.97656,0.98647,0.80379,0.79072,0.36428,1.12135,0.00999994,0.00999994,0.00999994
65,1463.45,0.83469,0.56242,1.15001,0.96796,0.9719,0.98744,0.80422,0.79154,0.36548,1.12012,0.00999994,0.00999994,0.00999994
66,1485.14,0.83402,0.56145,1.14695,0.96829,0.97582,0.98595,0.80844,0.77988,0.36522,1.11052,0.00999994,0.00999994,0.00999994
67,1507.01,0.83205,0.56026,1.1447,0.94521,0.9784,0.98304,0.80788,0.78073,0.36934,1.11455,0.00999993,0.00999993,0.00999993
68,1528.92,0.83492,0.56389,1.15085,0.97412,0.97384,0.98905,0.81338,0.77234,0.36386,1.10801,0.00999993,0.00999993,0.00999993
69,1550.64,0.83143,0.5631,1.14752,0.96828,0.97745,0.98736,0.80852,0.77226,0.36296,1.10432,0.00999993,0.00999993,0.00999993
70,1572.4,0.8254,0.55685,1.14247,0.97408,0.97888,0.98886,0.81065,0.77332,0.36071,1.10727,0.00999993,0.00999993,0.00999993
71,1594.22,0.82803,0.55393,1.14312,0.97383,0.97817,0.9895,0.81372,0.76641,0.35787,1.10229,0.00999993,0.00999993,0.00999993
72,1615.95,0.8182,0.55217,1.13855,0.97432,0.97707,0.98808,0.80994,0.77095,0.35622,1.10888,0.00999993,0.00999993,0.00999993
73,1637.7,0.81438,0.54927,1.13404,0.97354,0.97692,0.98886,0.80777,0.77298,0.35611,1.10908,0.00999993,0.00999993,0.00999993
74,1659.47,0.82141,0.55099,1.14206,0.97522,0.97972,0.98909,0.81419,0.76979,0.35139,1.11126,0.00999993,0.00999993,0.00999993
75,1681.46,0.81827,0.54679,1.13554,0.96966,0.98044,0.98847,0.80916,0.76756,0.35579,1.1078,0.00999993,0.00999993,0.00999993
76,1703.33,0.81356,0.54474,1.13725,0.96931,0.98219,0.98737,0.81281,0.75574,0.35213,1.09977,0.00999993,0.00999993,0.00999993
77,1725.38,0.81039,0.54186,1.13319,0.97177,0.98198,0.98775,0.8142,0.7522,0.3499,1.09396,0.00999992,0.00999992,0.00999992
78,1747.91,0.81164,0.54231,1.1344,0.97169,0.9778,0.98748,0.81749,0.75095,0.34784,1.09351,0.00999992,0.00999992,0.00999992
79,1770.38,0.81271,0.54426,1.13569,0.9714,0.97554,0.987,0.81353,0.75303,0.34688,1.09334,0.00999992,0.00999992,0.00999992
80,1792.74,0.80225,0.53658,1.12837,0.96929,0.97804,0.98724,0.81577,0.75448,0.34594,1.0962,0.00999992,0.00999992,0.00999992
81,1814.77,0.80341,0.54017,1.12873,0.97301,0.97961,0.98918,0.81428,0.75015,0.33845,1.09135,0.00999992,0.00999992,0.00999992
82,1836.84,0.79922,0.53265,1.12452,0.97365,0.98003,0.98929,0.81921,0.74786,0.3402,1.08737,0.00999992,0.00999992,0.00999992
83,1858.98,0.79409,0.53051,1.12073,0.97376,0.97437,0.98896,0.81609,0.75031,0.33752,1.09055,0.00999992,0.00999992,0.00999992
84,1881.04,0.81218,0.5402,1.13673,0.96837,0.97934,0.98538,0.81906,0.74834,0.33882,1.08713,0.00999992,0.00999992,0.00999992
85,1903.14,0.80026,0.53572,1.13063,0.96726,0.98177,0.98933,0.82108,0.74581,0.33766,1.08574,0.00999992,0.00999992,0.00999992
86,1925.23,0.79006,0.52996,1.11658,0.97131,0.97963,0.98999,0.82456,0.74575,0.33882,1.08481,0.00999992,0.00999992,0.00999992
87,1946.96,0.79383,0.52636,1.12483,0.972,0.98259,0.98942,0.82114,0.74303,0.33883,1.08568,0.00999991,0.00999991,0.00999991
88,1968.77,0.79059,0.52707,1.12094,0.97138,0.98175,0.98702,0.8209,0.73847,0.3387,1.07957,0.00999991,0.00999991,0.00999991
89,1991.13,0.78703,0.52398,1.11535,0.97156,0.97795,0.98569,0.82276,0.74168,0.33957,1.08287,0.00999991,0.00999991,0.00999991
90,2013.35,0.79027,0.52122,1.11741,0.97147,0.98013,0.98555,0.81828,0.73859,0.33808,1.07883,0.00999991,0.00999991,0.00999991
91,2035.33,0.78798,0.52492,1.11706,0.96935,0.98242,0.98565,0.8186,0.73738,0.33892,1.07707,0.00999991,0.00999991,0.00999991
92,2057.46,0.78399,0.52157,1.11574,0.96893,0.98439,0.98584,0.81846,0.73492,0.33706,1.07493,0.00999991,0.00999991,0.00999991
93,2079.18,0.78806,0.52479,1.1184,0.96772,0.98438,0.98699,0.8203,0.73115,0.33372,1.07232,0.00999991,0.00999991,0.00999991
94,2101.23,0.78562,0.52086,1.11586,0.97178,0.98149,0.98903,0.82293,0.72537,0.33121,1.07113,0.00999991,0.00999991,0.00999991
