epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6896,1.6232,3.05049,1.89116,0.69594,0.55942,0.61488,0.349,1.64523,1.80552,1.9189,0.00332607,0.00332607,0.00332607
2,73.3616,1.38274,1.47191,1.56246,0.79775,0.70471,0.80586,0.5019,1.52166,1.5311,1.81212,0.0066594,0.0066594,0.0066594
3,108.726,1.35168,1.28382,1.51303,0.74926,0.7563,0.80977,0.50917,1.50988,1.32249,1.73627,0.00999274,0.00999274,0.00999274
4,143.907,1.38236,1.29309,1.53996,0.74716,0.8236,0.82966,0.5364,1.47004,1.24007,1.73614,0.01,0.01,0.01
5,179.307,1.31916,1.15096,1.48703,0.79635,0.86475,0.8911,0.60478,1.36548,1.04054,1.62608,0.01,0.01,0.01
6,214.754,1.27547,1.06219,1.4516,0.86724,0.87289,0.90858,0.61572,1.31377,0.89875,1.55075,0.01,0.01,0.01
7,250.401,1.22803,0.977,1.41323,0.894,0.86954,0.92585,0.62514,1.29584,0.80041,1.5335,0.00999999,0.00999999,0.00999999
8,285.887,1.19184,0.9228,1.39066,0.89059,0.89629,0.94233,0.66904,1.22382,0.77377,1.49239,0.00999999,0.00999999,0.00999999
9,321.298,1.15361,0.87695,1.36362,0.89908,0.91654,0.96066,0.68108,1.17015,0.67878,1.43696,0.00999999,0.00999999,0.00999999
10,356.082,1.12291,0.83069,1.33561,0.90909,0.93251,0.95642,0.67949,1.13992,0.65124,1.40481,0.00999999,0.00999999,0.00999999
11,390.554,1.09403,0.79903,1.31839,0.92033,0.93559,0.961,0.69601,1.09719,0.60098,1.36847,0.00999999,0.00999999,0.00999999
12,424.793,1.06796,0.76815,1.2996,0.94388,0.93332,0.96777,0.71152,1.07382,0.57475,1.34483,0.00999999,0.00999999,0.00999999
13,459.108,1.05045,0.75091,1.29042,0.92798,0.93128,0.96226,0.72072,1.04641,0.54608,1.32627,0.00999999,0.00999999,0.00999999
14,493.605,1.02809,0.72782,1.27093,0.93416,0.94356,0.97284,0.7195,1.03647,0.54765,1.3147,0.00999999,0.00999999,0.00999999
15,528.109,1.0131,0.71229,1.26269,0.9211,0.95472,0.97849,0.74272,1.00659,0.51255,1.28486,0.00999999,0.00999999,0.00999999
16,562.716,0.98407,0.68645,1.24302,0.93656,0.95426,0.97632,0.73508,0.99374,0.49051,1.27608,0.00999999,0.00999999,0.00999999
17,597.252,0.97238,0.6687,1.23698,0.93838,0.93631,0.96867,0.72635,1.01699,0.50817,1.30151,0.00999998,0.00999998,0.00999998
18,631.74,0.96117,0.65798,1.23161,0.95457,0.95276,0.97779,0.75081,0.98278,0.49592,1.26334,0.00999998,0.00999998,0.00999998
19,666.325,0.94457,0.64368,1.22083,0.9353,0.96405,0.97743,0.73772,0.98639,0.49036,1.26472,0.00999998,0.00999998,0.00999998
20,700.792,0.93417,0.63779,1.21673,0.93276,0.96139,0.97832,0.75781,0.95967,0.46692,1.25641,0.00999998,0.00999998,0.00999998
21,735.333,0.91289,0.61406,1.19878,0.92571,0.97064,0.98209,0.76494,0.93249,0.44951,1.23134,0.00999998,0.00999998,0.00999998
22,769.838,0.90401,0.61057,1.19603,0.93368,0.96642,0.98049,0.76789,0.91598,0.4432,1.21554,0.00999998,0.00999998,0.00999998
23,804.34,0.89097,0.60356,1.18691,0.93532,0.96931,0.98171,0.76564,0.93216,0.44912,1.22919,0.00999998,0.00999998,0.00999998
24,838.737,0.88707,0.59436,1.18257,0.94084,0.95699,0.9749,0.75578,0.93296,0.44287,1.22557,0.00999998,0.00999998,0.00999998
25,873.173,0.87012,0.58377,1.17391,0.96153,0.97011,0.983,0.7801,0.8887,0.4219,1.20125,0.00999998,0.00999998,0.00999998
26,907.619,0.86394,0.57305,1.17117,0.95932,0.95491,0.9807,0.77908,0.90741,0.42419,1.20974,0.00999998,0.00999998,0.00999998
27,942.053,0.85502,0.56622,1.16373,0.95709,0.96542,0.98199,0.78318,0.87363,0.42084,1.18761,0.00999997,0.00999997,0.00999997
28,976.597,0.8526,0.56355,1.16366,0.95952,0.9647,0.98159,0.79098,0.85862,0.41759,1.17342,0.00999997,0.00999997,0.00999997
29,1011.11,0.83542,0.54939,1.14722,0.94816,0.97428,0.98595,0.78175,0.86553,0.40965,1.17761,0.00999997,0.00999997,0.00999997
30,1045.52,0.83227,0.54285,1.14865,0.95925,0.97645,0.98637,0.79092,0.84362,0.39318,1.16175,0.00999997,0.00999997,0.00999997
31,1080.14,0.81981,0.53643,1.13744,0.95681,0.97187,0.98387,0.77965,0.87094,0.40713,1.18289,0.00999997,0.00999997,0.00999997
32,1114.62,0.81596,0.53602,1.13839,0.94654,0.97379,0.98501,0.78543,0.84496,0.39481,1.15656,0.00999997,0.00999997,0.00999997
33,1149.21,0.8061,0.52809,1.13055,0.95161,0.94862,0.9774,0.78734,0.84378,0.39154,1.15941,0.00999997,0.00999997,0.00999997
34,1183.64,0.7984,0.52226,1.13159,0.95686,0.96136,0.98202,0.79347,0.81954,0.38575,1.14848,0.00999997,0.00999997,0.00999997
35,1218.17,0.79342,0.52056,1.12468,0.97032,0.9754,0.98561,0.78434,0.81771,0.37687,1.13874,0.00999997,0.00999997,0.00999997
36,1252.7,0.78187,0.5102,1.11612,0.95851,0.97553,0.98559,0.79736,0.80849,0.3735,1.12966,0.00999997,0.00999997,0.00999997
37,1287.21,0.78174,0.51152,1.11721,0.94367,0.97278,0.98704,0.78766,0.80187,0.37465,1.13063,0.00999996,0.00999996,0.00999996
38,1321.6,0.77889,0.50495,1.11786,0.96301,0.96899,0.98537,0.79886,0.80348,0.36713,1.13011,0.00999996,0.00999996,0.00999996
39,1356.07,0.77435,0.49906,1.11614,0.95927,0.97335,0.98384,0.80083,0.79219,0.36496,1.12503,0.00999996,0.00999996,0.00999996
40,1390.54,0.76665,0.49289,1.10214,0.96649,0.97469,0.9827,0.80529,0.79306,0.36572,1.12246,0.00999996,0.00999996,0.00999996
41,1425.12,0.76702,0.50116,1.10847,0.95821,0.98211,0.98571,0.80441,0.796,0.36292,1.12738,0.00999996,0.00999996,0.00999996
42,1459.54,0.7595,0.48931,1.10438,0.9628,0.97254,0.98545,0.8067,0.79001,0.36547,1.12085,0.00999996,0.00999996,0.00999996
43,1494.01,0.75252,0.48411,1.09833,0.96904,0.97343,0.98558,0.80829,0.76884,0.35801,1.10833,0.00999996,0.00999996,0.00999996
44,1528.48,0.74684,0.48381,1.09555,0.96941,0.9757,0.98705,0.81266,0.77644,0.35848,1.10906,0.00999996,0.00999996,0.00999996
45,1563.07,0.74437,0.48106,1.09674,0.96712,0.9777,0.98669,0.81068,0.77107,0.35639,1.1058,0.00999996,0.00999996,0.00999996
46,1597.6,0.7367,0.47682,1.09419,0.9665,0.97394,0.98433,0.8101,0.76088,0.35663,1.10962,0.00999996,0.00999996,0.00999996
47,1632.03,0.73504,0.47548,1.08922,0.97095,0.97839,0.98811,0.81298,0.76537,0.34947,1.10419,0.00999995,0.00999995,0.00999995
48,1666.59,0.72853,0.46996,1.08467,0.96518,0.9799,0.98623,0.81136,0.76725,0.34903,1.10838,0.00999995,0.00999995,0.00999995
49,1701.11,0.72667,0.47239,1.08523,0.94962,0.98073,0.98533,0.80897,0.75725,0.34791,1.09392,0.00999995,0.00999995,0.00999995
50,1735.58,0.71588,0.46045,1.07835,0.96413,0.97699,0.98806,0.81905,0.76227,0.35062,1.10361,0.00999995,0.00999995,0.00999995
51,1770.06,0.71822,0.46501,1.08394,0.96837,0.97526,0.98491,0.81498,0.74562,0.33895,1.08942,0.00999995,0.00999995,0.00999995
52,1804.62,0.70804,0.45607,1.07374,0.96274,0.97955,0.98393,0.81823,0.73674,0.33866,1.08011,0.00999995,0.00999995,0.00999995
53,1839.16,0.71083,0.45584,1.07809,0.96176,0.98195,0.98761,0.82288,0.73361,0.33456,1.07969,0.00999995,0.00999995,0.00999995
54,1873.65,0.70795,0.45436,1.07384,0.96985,0.97334,0.98404,0.81691,0.74221,0.33872,1.09003,0.00999995,0.00999995,0.00999995
55,1908.15,0.7064,0.45363,1.07387,0.97514,0.97212,0.9868,0.82826,0.73209,0.33303,1.08357,0.00999995,0.00999995,0.00999995
56,1942.61,0.70064,0.45159,1.07179,0.97166,0.97528,0.98713,0.82624,0.7289,0.32957,1.07923,0.00999995,0.00999995,0.00999995
57,1977.12,0.69127,0.44474,1.06642,0.9675,0.98088,0.98635,0.81867,0.72917,0.33094,1.0842,0.00999994,0.00999994,0.00999994
58,2011.58,0.69378,0.44409,1.06502,0.96326,0.98009,0.98679,0.82687,0.72774,0.3274,1.07961,0.00999994,0.00999994,0.00999994
59,2046,0.69249,0.44203,1.06648,0.96467,0.98341,0.98632,0.82445,0.72112,0.32657,1.07418,0.00999994,0.00999994,0.00999994
60,2080.51,0.68896,0.44361,1.06681,0.96564,0.98318,0.98638,0.823,0.71936,0.32795,1.07294,0.00999994,0.00999994,0.00999994
61,2114.96,0.68922,0.44495,1.06714,0.97433,0.97837,0.98662,0.82412,0.71874,0.31561,1.07301,0.00999994,0.00999994,0.00999994
62,2149.4,0.68052,0.4369,1.06074,0.97186,0.97306,0.98761,0.82696,0.72022,0.32195,1.07662,0.00999994,0.00999994,0.00999994
63,2183.87,0.67988,0.43903,1.05912,0.97477,0.95845,0.98302,0.82031,0.71332,0.31993,1.07201,0.00999994,0.00999994,0.00999994
64,2218.25,0.67905,0.43828,1.06181,0.9719,0.97883,0.98745,0.8263,0.70572,0.3184,1.06786,0.00999994,0.00999994,0.00999994
65,2252.74,0.67217,0.43207,1.05657,0.96785,0.98368,0.98608,0.82708,0.69994,0.31636,1.06305,0.00999994,0.00999994,0.00999994
66,2287.26,0.66833,0.43073,1.05021,0.96331,0.98028,0.98496,0.82869,0.70403,0.31538,1.06767,0.00999994,0.00999994,0.00999994
67,2321.78,0.66969,0.4309,1.05316,0.96845,0.9737,0.98708,0.83216,0.70432,0.31258,1.06702,0.00999993,0.00999993,0.00999993
68,2356.34,0.6701,0.42865,1.05564,0.96599,0.98413,0.98712,0.83909,0.70235,0.30972,1.0608,0.00999993,0.00999993,0.00999993
69,2390.89,0.67001,0.43253,1.05549,0.96823,0.98219,0.98743,0.83764,0.69435,0.31013,1.05866,0.00999993,0.00999993,0.00999993
70,2425.28,0.66133,0.42373,1.05016,0.96088,0.98457,0.98751,0.83322,0.68899,0.30428,1.05513,0.00999993,0.00999993,0.00999993
71,2459.66,0.66075,0.42393,1.0455,0.96824,0.98208,0.98687,0.83019,0.69347,0.30452,1.05866,0.00999993,0.00999993,0.00999993
72,2494.01,0.65662,0.42152,1.04594,0.97055,0.9864,0.9888,0.83168,0.68613,0.31026,1.05244,0.00999993,0.00999993,0.00999993
73,2528.35,0.65158,0.41732,1.04278,0.96585,0.98356,0.98677,0.83376,0.68857,0.30628,1.05504,0.00999993,0.00999993,0.00999993
74,2562.64,0.65643,0.41889,1.04652,0.97174,0.97742,0.98787,0.83331,0.69153,0.30787,1.05762,0.00999993,0.00999993,0.00999993
75,2597.12,0.65732,0.4198,1.04513,0.97612,0.96582,0.98629,0.84033,0.68507,0.30873,1.05336,0.00999993,0.00999993,0.00999993
76,2631.54,0.64871,0.41685,1.04449,0.97431,0.96535,0.98605,0.8371,0.6824,0.30568,1.05403,0.00999993,0.00999993,0.00999993
77,2665.94,0.64783,0.41355,1.04437,0.97615,0.97151,0.98847,0.83937,0.6802,0.30358,1.05279,0.00999992,0.00999992,0.00999992
78,2700.35,0.64767,0.41194,1.04342,0.97604,0.97272,0.98757,0.83531,0.67784,0.30585,1.05047,0.00999992,0.00999992,0.00999992
79,2734.69,0.64667,0.41256,1.04514,0.97177,0.97177,0.98622,0.83379,0.67947,0.29993,1.0555,0.00999992,0.00999992,0.00999992
80,2769.11,0.63881,0.41093,1.03847,0.97745,0.96876,0.98594,0.83747,0.68091,0.29879,1.05719,0.00999992,0.00999992,0.00999992
81,2803.43,0.6384,0.41252,1.04064,0.97775,0.96776,0.988,0.84054,0.68265,0.29974,1.05899,0.00999992,0.00999992,0.00999992
82,2837.8,0.63558,0.40813,1.03746,0.97205,0.97734,0.98867,0.83464,0.68453,0.30336,1.05919,0.00999992,0.00999992,0.00999992
83,2872.2,0.63519,0.40769,1.03442,0.96876,0.98327,0.98893,0.83762,0.68458,0.30351,1.0577,0.00999992,0.00999992,0.00999992
84,2906.62,0.64516,0.41151,1.04401,0.97216,0.98042,0.98824,0.84007,0.67904,0.30173,1.05223,0.00999992,0.00999992,0.00999992
85,2940.97,0.63674,0.40967,1.0403,0.96925,0.98094,0.98763,0.84379,0.67284,0.302,1.04999,0.00999992,0.00999992,0.00999992
86,2975.26,0.62896,0.40436,1.02942,0.97158,0.98355,0.98816,0.84298,0.66698,0.29381,1.04279,0.00999992,0.00999992,0.00999992
87,3009.56,0.62983,0.40045,1.03419,0.97281,0.97883,0.98851,0.84632,0.66507,0.29591,1.03914,0.00999991,0.00999991,0.00999991
88,3044.01,0.62781,0.40411,1.03449,0.96883,0.97912,0.98926,0.85366,0.66678,0.2976,1.04137,0.00999991,0.00999991,0.00999991
89,3078.47,0.6245,0.40007,1.02701,0.96886,0.98196,0.98806,0.85085,0.66604,0.293,1.04366,0.00999991,0.00999991,0.00999991
90,3112.87,0.62487,0.39864,1.02894,0.9662,0.98112,0.98915,0.85,0.66904,0.29842,1.04803,0.00999991,0.00999991,0.00999991
91,3147.33,0.62027,0.39769,1.02703,0.96978,0.98014,0.98934,0.84848,0.66608,0.29749,1.04549,0.00999991,0.00999991,0.00999991
92,3181.66,0.62071,0.3941,1.02681,0.96771,0.981,0.98894,0.84875,0.6657,0.29249,1.04621,0.00999991,0.00999991,0.00999991
93,3216.11,0.62241,0.39812,1.02694,0.96882,0.98287,0.98928,0.84624,0.66805,0.29458,1.04983,0.00999991,0.00999991,0.00999991
94,3250.4,0.61714,0.39424,1.02302,0.96953,0.98399,0.98952,0.84294,0.66802,0.29342,1.04962,0.00999991,0.00999991,0.00999991
95,3284.82,0.6181,0.39632,1.02319,0.96676,0.98434,0.98932,0.84852,0.67078,0.2946,1.04934,0.00999991,0.00999991,0.00999991
96,3319.24,0.6143,0.39248,1.0238,0.96938,0.98578,0.98942,0.84949,0.66819,0.2927,1.04696,0.00999991,0.00999991,0.00999991
97,3353.63,0.61137,0.38967,1.01903,0.96899,0.98324,0.98865,0.84355,0.66638,0.28743,1.04612,0.0099999,0.0099999,0.0099999
98,3387.97,0.61132,0.38712,1.01994,0.9727,0.97471,0.98857,0.84561,0.66595,0.2865,1.04587,0.0099999,0.0099999,0.0099999
99,3422.33,0.60844,0.38845,1.02324,0.97197,0.97601,0.98929,0.84577,0.66312,0.28783,1.04379,0.0099999,0.0099999,0.0099999
100,3456.7,0.6111,0.39195,1.02174,0.9726,0.98186,0.98964,0.8492,0.66396,0.28736,1.0445,0.0099999,0.0099999,0.0099999
101,3491.14,0.60706,0.38697,1.02011,0.97347,0.98176,0.98933,0.845,0.66188,0.28869,1.04413,0.0099999,0.0099999,0.0099999
102,3525.45,0.606,0.38837,1.02373,0.96988,0.98345,0.98839,0.84507,0.65796,0.28942,1.04188,0.0099999,0.0099999,0.0099999
103,3560.67,0.6053,0.38731,1.01651,0.97085,0.98243,0.98859,0.8467,0.6573,0.29063,1.04146,0.0099999,0.0099999,0.0099999
104,3595.74,0.6077,0.38563,1.01997,0.97205,0.9807,0.98751,0.84703,0.65567,0.28816,1.03973,0.0099999,0.0099999,0.0099999
