epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5627,1.55371,2.75345,1.82754,0.81034,0.70321,0.78391,0.50335,1.44723,1.49074,1.81701,0.00332607,0.00332607,0.00332607
2,140.674,1.31156,1.3366,1.57287,0.76728,0.80528,0.8245,0.52186,1.53145,1.24105,1.81985,0.0066594,0.0066594,0.0066594
3,209.679,1.30139,1.21704,1.55473,0.83657,0.81335,0.87065,0.56495,1.38641,1.10427,1.73264,0.00999274,0.00999274,0.00999274
4,279.404,1.33711,1.24929,1.57896,0.86982,0.74847,0.83322,0.55993,1.34563,1.06318,1.65641,0.01,0.01,0.01
5,348.36,1.2796,1.10396,1.53014,0.86578,0.83424,0.90485,0.6107,1.3158,0.95244,1.63754,0.01,0.01,0.01
6,418.451,1.22095,1.00398,1.48634,0.87602,0.86125,0.92393,0.64996,1.22384,0.8546,1.54103,0.01,0.01,0.01
7,488.419,1.1657,0.92018,1.44373,0.92894,0.87812,0.94803,0.67717,1.18625,0.70518,1.49722,0.00999999,0.00999999,0.00999999
8,557.347,1.13183,0.86111,1.41193,0.89614,0.88392,0.93613,0.67742,1.15449,0.69744,1.50089,0.00999999,0.00999999,0.00999999
9,624.091,1.08712,0.80887,1.39004,0.92488,0.90421,0.94517,0.67063,1.16242,0.64249,1.48833,0.00999999,0.00999999,0.00999999
10,690.738,1.05838,0.76401,1.36481,0.93024,0.92542,0.96591,0.7159,1.0498,0.56408,1.39257,0.00999999,0.00999999,0.00999999
11,757.622,1.02484,0.72655,1.34019,0.91872,0.93782,0.96366,0.72246,1.03159,0.56195,1.36184,0.00999999,0.00999999,0.00999999
12,825.244,0.98962,0.69401,1.31726,0.93077,0.93418,0.96649,0.72663,0.99629,0.53047,1.34211,0.00999999,0.00999999,0.00999999
13,893.593,0.9709,0.67636,1.30985,0.91993,0.93672,0.96679,0.73851,0.97067,0.51397,1.33246,0.00999999,0.00999999,0.00999999
14,962.231,0.95175,0.65704,1.29647,0.94391,0.95217,0.97194,0.74238,0.96227,0.5031,1.3237,0.00999999,0.00999999,0.00999999
15,1029.61,0.93213,0.63702,1.28001,0.91522,0.95427,0.97409,0.7536,0.93034,0.48751,1.28178,0.00999999,0.00999999,0.00999999
16,1096.79,0.9041,0.6132,1.26106,0.93792,0.95468,0.97416,0.7479,0.92886,0.46763,1.27369,0.00999999,0.00999999,0.00999999
17,1165.2,0.887,0.59558,1.24922,0.95263,0.94383,0.97624,0.7603,0.91,0.44952,1.28263,0.00999998,0.00999998,0.00999998
18,1231.97,0.87709,0.59229,1.24147,0.9189,0.96528,0.97428,0.75644,0.89844,0.46324,1.25924,0.00999998,0.00999998,0.00999998
19,1299.94,0.85747,0.5685,1.23302,0.93676,0.97185,0.98177,0.77766,0.86146,0.42509,1.24241,0.00999998,0.00999998,0.00999998
20,1368.47,0.84987,0.56677,1.2293,0.91409,0.9744,0.98039,0.77086,0.88312,0.42153,1.23113,0.00999998,0.00999998,0.00999998
21,1435.48,0.82682,0.54105,1.20075,0.94699,0.96563,0.97828,0.78104,0.84711,0.40528,1.20797,0.00999998,0.00999998,0.00999998
22,1501.33,0.81856,0.5402,1.20365,0.94472,0.96925,0.98489,0.78547,0.82711,0.40495,1.2119,0.00999998,0.00999998,0.00999998
23,1567.45,0.80688,0.53544,1.1942,0.93935,0.95395,0.96999,0.77722,0.84528,0.41324,1.22207,0.00999998,0.00999998,0.00999998
24,1634.68,0.79518,0.52348,1.18689,0.94003,0.97191,0.98376,0.79756,0.81077,0.38303,1.18693,0.00999998,0.00999998,0.00999998
25,1701.3,0.78592,0.51518,1.17631,0.96783,0.96059,0.98349,0.78992,0.82665,0.38194,1.19286,0.00999998,0.00999998,0.00999998
26,1767.04,0.78018,0.50736,1.17428,0.96501,0.97035,0.98387,0.79131,0.80182,0.3861,1.18258,0.00999998,0.00999998,0.00999998
27,1833.15,0.76541,0.49754,1.16125,0.95778,0.97061,0.98159,0.79808,0.79019,0.36607,1.14932,0.00999997,0.00999997,0.00999997
28,1898.93,0.76465,0.49564,1.16151,0.95124,0.96523,0.98148,0.80254,0.77435,0.3696,1.16091,0.00999997,0.00999997,0.00999997
29,1964.82,0.7493,0.48319,1.14856,0.96469,0.96509,0.984,0.79843,0.77498,0.35692,1.15639,0.00999997,0.00999997,0.00999997
30,2030.56,0.73694,0.47627,1.14011,0.96112,0.97183,0.98581,0.80453,0.77072,0.35631,1.16005,0.00999997,0.00999997,0.00999997
