epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.046,1.48957,2.53487,1.91253,0.79164,0.76585,0.84717,0.5498,1.40173,1.24225,2.0368,0.00332607,0.00332607,0.00332607
2,310.768,1.2482,1.23555,1.66728,0.74484,0.83736,0.85158,0.57229,1.34155,1.12557,1.92534,0.0066594,0.0066594,0.0066594
3,464.869,1.27088,1.18273,1.67844,0.80651,0.70675,0.79395,0.49414,1.45749,1.50098,2.04835,0.00999274,0.00999274,0.00999274
4,618.475,1.30835,1.23734,1.71521,0.81913,0.77328,0.86601,0.57528,1.36928,1.12704,1.99286,0.01,0.01,0.01
5,772.255,1.25165,1.09551,1.67029,0.75769,0.82136,0.86306,0.56935,1.37262,1.1335,1.97762,0.01,0.01,0.01
6,925.813,1.19024,0.98896,1.62265,0.8971,0.84831,0.92423,0.64655,1.2492,0.87231,1.84114,0.01,0.01,0.01
7,1079.62,1.13035,0.89163,1.56497,0.9046,0.88708,0.94344,0.67985,1.13622,0.69719,1.71649,0.00999999,0.00999999,0.00999999
8,1233.4,1.09102,0.82817,1.53522,0.87063,0.91938,0.94579,0.70622,1.1155,0.72954,1.71728,0.00999999,0.00999999,0.00999999
9,1387.1,1.0465,0.78328,1.4907,0.89549,0.933,0.9559,0.71082,1.06363,0.61234,1.62701,0.00999999,0.00999999,0.00999999
10,1540.27,1.01001,0.73549,1.45549,0.88264,0.93977,0.95793,0.7207,1.04769,0.60845,1.63143,0.00999999,0.00999999,0.00999999
11,1694.27,0.97534,0.70237,1.42896,0.91627,0.95069,0.96812,0.73192,1.01175,0.55414,1.60534,0.00999999,0.00999999,0.00999999
12,1848.25,0.94059,0.65915,1.39447,0.9374,0.95284,0.96955,0.73057,0.97042,0.53199,1.53644,0.00999999,0.00999999,0.00999999
13,2001.88,0.91985,0.64088,1.38587,0.93126,0.95109,0.97124,0.7496,0.93879,0.48968,1.52358,0.00999999,0.00999999,0.00999999
14,2155.64,0.89764,0.61972,1.36122,0.94789,0.93702,0.97529,0.75606,0.93186,0.48155,1.50339,0.00999999,0.00999999,0.00999999
15,2309.32,0.87554,0.60119,1.34253,0.93718,0.95844,0.98123,0.76145,0.88442,0.45697,1.47474,0.00999999,0.00999999,0.00999999
16,2463.07,0.85287,0.57691,1.32238,0.92603,0.96635,0.97667,0.77157,0.87218,0.44722,1.43748,0.00999999,0.00999999,0.00999999
17,2616.86,0.8298,0.56457,1.31024,0.90997,0.96587,0.97411,0.76245,0.86745,0.44661,1.43884,0.00999998,0.00999998,0.00999998
18,2770.56,0.8183,0.55478,1.30536,0.94143,0.96741,0.98273,0.78532,0.85215,0.42394,1.44405,0.00999998,0.00999998,0.00999998
19,2924.35,0.80086,0.53179,1.28435,0.93257,0.96743,0.97598,0.78327,0.82862,0.41309,1.41763,0.00999998,0.00999998,0.00999998
20,3078.06,0.78705,0.52795,1.27469,0.94273,0.97784,0.98138,0.7904,0.79824,0.39886,1.37297,0.00999998,0.00999998,0.00999998
21,3231.86,0.7639,0.50276,1.25294,0.96324,0.97236,0.9832,0.79625,0.78807,0.38301,1.35654,0.00999998,0.00999998,0.00999998
22,3385.59,0.75489,0.50074,1.25243,0.95082,0.96677,0.9823,0.79058,0.82094,0.39575,1.41291,0.00999998,0.00999998,0.00999998
23,3539.21,0.74135,0.49282,1.23534,0.94793,0.97268,0.97884,0.78637,0.81512,0.40532,1.4282,0.00999998,0.00999998,0.00999998
24,3692.58,0.73187,0.48525,1.23239,0.93736,0.97163,0.98236,0.80261,0.77193,0.38142,1.38115,0.00999998,0.00999998,0.00999998
25,3851.93,0.71906,0.47418,1.21937,0.96237,0.96617,0.98604,0.80726,0.77682,0.36886,1.34093,0.00999998,0.00999998,0.00999998
26,4009.2,0.71095,0.46437,1.21164,0.96456,0.96052,0.98677,0.80238,0.76403,0.36116,1.33768,0.00999998,0.00999998,0.00999998
