epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.624,1.49178,2.5692,1.85356,0.80577,0.77396,0.81589,0.54032,1.36616,1.26188,1.86486,0.00332607,0.00332607,0.00332607
2,219.394,1.27953,1.30063,1.64396,0.73453,0.63668,0.7326,0.43074,1.66128,1.80633,2.10573,0.0066594,0.0066594,0.0066594
3,327.9,1.29621,1.25166,1.65477,0.7584,0.79132,0.81927,0.49986,1.5358,1.37096,2.03434,0.00999274,0.00999274,0.00999274
4,435.862,1.34205,1.30013,1.70513,0.77826,0.76447,0.7864,0.49535,1.45488,1.3758,1.99656,0.01,0.01,0.01
5,543.847,1.27525,1.14738,1.64741,0.78216,0.79958,0.83968,0.5388,1.43899,1.22995,1.97786,0.01,0.01,0.01
6,651.756,1.21796,1.03387,1.61014,0.88655,0.86869,0.91555,0.64078,1.26292,0.84055,1.79893,0.01,0.01,0.01
7,759.844,1.15634,0.93082,1.55603,0.90844,0.89667,0.94946,0.68689,1.14634,0.69459,1.67537,0.00999999,0.00999999,0.00999999
8,867.817,1.11596,0.87387,1.51529,0.8262,0.89953,0.91476,0.66264,1.18115,0.82734,1.69135,0.00999999,0.00999999,0.00999999
9,974.152,1.07525,0.81751,1.4777,0.91173,0.90307,0.96303,0.70898,1.08906,0.62773,1.60372,0.00999999,0.00999999,0.00999999
10,1079.91,1.03289,0.76643,1.44025,0.9237,0.9161,0.96202,0.72285,1.02593,0.57995,1.55269,0.00999999,0.00999999,0.00999999
11,1184.79,1.00328,0.73032,1.41918,0.93248,0.93582,0.9726,0.72859,1.0163,0.58282,1.54962,0.00999999,0.00999999,0.00999999
12,1289.68,0.96456,0.69301,1.38522,0.94284,0.93349,0.96462,0.73043,1.01009,0.58138,1.5335,0.00999999,0.00999999,0.00999999
13,1394.79,0.94481,0.67033,1.37619,0.91632,0.96559,0.97257,0.75089,0.9393,0.50593,1.45465,0.00999999,0.00999999,0.00999999
14,1499.69,0.92086,0.64549,1.34782,0.94458,0.95312,0.97526,0.76892,0.93053,0.49679,1.42289,0.00999999,0.00999999,0.00999999
